OrderID,OrderDate,ProductID,ProductCategory,Quantity,UnitPrice,Discount,Region,SalesChannel,Column1,Column2,Column3
10001,01-01-2022,2052,Books,9,495.78,0.04,Central,Mobile App,4462.02,178.4808,4283.5392
10002,02-01-2022,2093,Home & Kitchen,8,35.45,0.29,North,Mobile App,283.6,82.244,201.356
10003,03-01-2022,2015,Fashion,6,442.04,0.01,West,Mobile App,2652.24,26.5224,2625.7176
10004,04-01-2022,2072,Beauty,7,260.46,0.22,East,Online,1823.22,401.1084,1422.1116
10005,05-01-2022,2061,Electronics,3,453.72,0.23,North,Online,1361.16,313.0668,1048.0932
10006,06-01-2022,2021,Beauty,1,287.8,0.07,West,Mobile App,287.8,20.146,267.654
10007,07-01-2022,2083,Books,5,332.75,0.2,North,Online,1663.75,332.75,1331
10008,08-01-2022,2087,Beauty,2,274.17,0.03,North,Online,548.34,16.4502,531.8898
10009,09-01-2022,2075,Electronics,5,432.92,0.08,Central,Mobile App,2164.6,173.168,1991.432
10010,10-01-2022,2075,Books,8,368.29,0.24,West,Mobile App,2946.32,707.1168,2239.2032
10011,11-01-2022,2088,Beauty,9,263.02,0.26,East,Online,2367.18,615.4668,1751.7132
10012,12-01-2022,2100,Books,2,434.74,0.18,East,Online,869.48,156.5064,712.9736
10013,13-01-2022,2024,Home & Kitchen,3,126.42,0.15,West,Mobile App,379.26,56.889,322.371
10014,14-01-2022,2003,Home & Kitchen,3,82.88,0.05,Central,Online,248.64,12.432,236.208
10015,15-01-2022,2022,Beauty,1,84.4,0.02,South,Online,84.4,1.688,82.712
10016,16-01-2022,2053,Books,8,170.33,0.04,North,Mobile App,1362.64,54.5056,1308.1344
10017,17-01-2022,2002,Electronics,6,123.15,0.07,Central,Mobile App,738.9,51.723,687.177
10018,18-01-2022,2088,Beauty,8,465.39,0.1,West,Online,3723.12,372.312,3350.808
10019,19-01-2022,2030,Home & Kitchen,9,57.39,0.11,North,Online,516.51,56.8161,459.6939
